"Table 7-0. Employed U.S. scientists and engineers, by all degree levels, level of highest degree, employment sector, and primary or secondary work activity: 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Level of highest degree             ,,,Primary or secondary work activity,,,,,,,,,
,Employed scientists and engineers,,Computer applications,,"Management, sales, administration",,Research and development,,Teaching,,Other,
,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE,Number,SE
All degree levelsa,"23,557,000","336,000","2,533,000","63,000","13,588,000","208,500","6,312,000","107,500","4,212,000","81,500","9,991,000","149,000"
     Bachelor's,"13,432,000","237,000","1,695,000","53,000","8,169,000","155,000","3,420,000","78,000","1,872,000","57,000","5,387,000","108,500"
     Master's,"6,882,000","109,500","730,000","21,500","3,874,000","71,000","1,951,000","42,500","1,748,000","54,500","2,483,000","47,000"
     Doctorate,"1,154,000","16,000","91,000","3,500","455,000","9,500","703,000","12,000","359,000","9,500","267,000","8,500"
,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,
,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,
,,,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,
,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,
,,,,,,,,,,,,
