"Table 14-0. Median annual salaries of employed U.S. scientists and engineers, by all degree levels, level of highest degree, and employment sector: 2013",,,,,,,,,,
,,,,,,,,,,
Level of highest degree             ,,,Sector of employment,,,,,,,
,Employed scientists and engineers,,Business/ industry,,4-year college/ university,,Other educational institution,,Government,
,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE,Median salary,SE
All degree levelsa,"65,000",500,"71,000","2,000","51,000","1,500","48,000",500,"70,000","1,500"
     Bachelor's,"58,000","1,500","61,000","2,000","40,000","2,500","40,000","1,500","61,000","2,000"
     Master's,"70,000","1,500","80,000",500,"40,000","1,500","54,000","1,500","75,000","1,500"
     Doctorate,"90,000",500,"108,000","2,500","75,000","1,000","68,000","6,500","104,000","3,500"
,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,
,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,
,,,,,,,,,,
a Total includes professional degrees not broken out separately.,,,,,,,,,,
,,,,,,,,,,
"NOTES: Salaries are for principal job and rounded to the nearest $1,000. Standard errors for salaries are rounded up to the nearest $500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. Business/industry includes self-employed individuals, nonprofit organizations, and other unspecified types of employers. Four-year college/university includes medical schools and university-affiliated research institutes. Other educational institution includes 2-year colleges, precollege institutions, and other educational institutions. Government includes federal (civilian), military, state, and local employers.",,,,,,,,,,
,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,
,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,
,,,,,,,,,,
